#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
-93.116992,85,3420.11773
-261.556229,341,3420.757895
-11.653799,1000,3422.218915
4.514387,166,3425.42964
-190.709374,191,3425.486446
233.27059,575,3425.893563
-40.053156,94,3425.913246
-30.460472,169,3425.953457
-449.66064,415,3426.274257
-143.732973,88,3426.290501
-13.759203,1000,3427.543511
-389.519481,881,3428.767226
-55.54504,66,3428.77966
2.13474,152,3428.819418
-269.542072,199,3428.884261
-274.539231,239,3428.967617
-55.252466,167,3429.009452
-329.392728,225,3429.084511
-30.879177,185,3430.87085
-185.14757,597,3431.495315
-53.958897,169,3431.538006
-75.359316,467,4437.54811
-133.380399,101,4437.569201
-29.080816,126,4437.600346
-18.792569,171,4437.649029
-70.619698,105,4437.670815
-33.386075,186,4437.726867
-64.199535,386,4438.021832
-313.283317,344,4438.243763
-62.453507,621,4438.834334
155.415744,889,4439.781667
59.33628,1000,4440.86715
-87.889923,95,4440.884903
-7.38961,115,4611.710406
189.073537,459,4612.081544
-80.574301,85,4612.098648
-25.33329,129,4612.124829
-127.264106,72,4612.138416
-214.589836,230,4612.230901
-135.023971,222,4612.299281
15.09983,168,4612.339868
231.419507,154,4612.383368
-87.964827,106,4612.404482
-53.676188,635,4613.008897
-147.770232,111,4613.030125
-39.315206,126,4613.059777
19.465075,183,4613.1037
-95.588465,67,4613.116398
-164.502562,892,4617.336287
230.947665,983,4618.520703
260.481792,426,4618.710792
-94.972818,122,4618.733973
15.285836,634,4619.183333
-167.294943,289,4619.330501
179.06747,546,4619.766167
219.656524,327,4619.934751
-104.224957,75,4619.948691
141.820346,889,4620.89183
-137.99752,464,4621.163387
39.407195,136,4621.19197
-103.338602,1000,4622.248323
-21.767272,119,4622.276846
-70.284692,75,4622.291386
224.18709,273,5464.189605
-37.050613,89,5464.207325
-253.582441,757,5464.99754
303.881216,360,5465.191372
28.118415,120,5465.219258
17.135746,1000,5466.072218
-55.411438,147,5466.109129
-117.748366,456,5466.458732
-98.447077,506,5466.825998
13.619631,101,5466.848569
139.06241,846,5467.777581
-17.309301,120,5467.803003
-140.135008,901,5468.562507
21.999491,112,5468.586313
212.162057,341,5468.782191
-27.053118,155,5470.097167
-66.304476,92,5470.115456
41.91505,1000,5471.104019
-79.055846,810,5471.940882
218.772321,319,5472.09682
235.379858,454,5472.392635
226.311937,295,5472.565058
-55.738795,63,5472.577074
244.764205,243,5472.677517
-137.031335,915,5474.184983
-14.609351,120,5474.212189
-166.628632,958,5475.405943
