#{"t_start": 1697684642.142205, "env_id": "LunarLander-v2"}
r,l,t
234.016642,413,24127.257504
251.903272,736,24128.168991
207.845855,377,24128.369795
215.505491,400,24128.533142
192.368441,751,24129.60823
244.410603,495,24130.039197
252.709538,603,24130.766663
257.449751,840,24131.480934
247.978781,538,24131.892265
91.819792,1000,24203.338156
162.613389,602,24203.792234
146.736531,576,24204.326786
56.883335,1000,24205.896614
162.917355,669,24206.713326
280.081692,352,24248.653843
-13.651237,144,24248.700171
224.872311,420,24248.955201
83.688453,1000,24250.595746
177.933909,803,24251.722572
208.875331,404,24252.129271
197.622823,446,24252.399744
241.996593,416,24252.818778
268.446917,302,24252.964677
245.977968,928,24254.818151
253.000581,669,24313.127907
212.623675,965,24314.62555
204.428233,399,24314.861925
234.640882,372,24315.051845
212.472463,330,24315.214934
200.642777,802,24316.307512
214.000454,718,24316.953976
135.036398,909,24318.163876
107.323063,1000,24319.057433
171.060825,828,24962.838543
146.479136,741,24964.139064
154.731443,837,24965.447316
214.124407,757,24966.412915
243.300027,509,24966.680402
239.515488,523,24967.219916
-47.96324,402,25092.032926
201.985824,654,25092.527214
210.992209,771,25093.43392
86.856876,1000,25095.114717
183.294166,627,25095.916446
192.26961,630,25096.643942
58.32764,1000,25097.884992
101.886414,1000,25099.084274
181.753292,853,25735.941202
165.51441,653,25736.450203
188.141498,573,25737.005481
166.855876,528,25737.346498
101.090173,1000,25739.337266
179.175569,675,25739.774528
170.485992,576,25740.44513
30.570895,313,26295.790088
221.0587,366,26296.039778
258.058878,864,26296.934141
212.083637,363,26297.135623
183.932715,590,26297.638497
300.392411,255,26297.749203
260.715091,290,26297.892213
227.911875,808,26298.812434
239.38409,451,26299.119177
239.392591,316,26299.293319
207.408443,405,26299.512888
182.660951,588,26299.886498
-55.438471,166,26299.931168
263.180266,700,26300.339263
205.500672,474,26300.704187
268.141341,255,26302.328199
231.763416,395,26302.658766
228.456064,376,26302.96712
252.731482,250,26316.223443
284.541204,398,26316.380876
218.650517,319,26316.552178
212.1947,403,26316.829
213.158067,383,26317.117973
211.361088,351,26317.390018
246.766925,335,26317.57523
140.786749,1000,26318.6092
243.909265,319,26318.821066
271.337835,278,26318.965864
217.778752,474,26319.373619
147.096882,700,26320.021439
223.336255,507,26326.895427
248.541453,405,26327.199247
171.198875,686,26328.096737
186.4735,611,26328.761483
201.165323,605,26724.514596
241.881653,867,26725.140728
140.93057,486,26725.551215
236.116987,438,26725.890243
207.726712,387,26726.086386
256.528174,517,26726.462582
112.56497,1000,26728.084356
151.299005,746,26728.684682
101.842868,1000,26730.221423
100.04416,616,26731.128867
255.259764,277,26731.276835
210.156884,424,26983.279589
-84.370317,1000,26984.391771
-20.851616,334,26984.576011
39.403093,195,26984.628708
263.128807,265,26984.715963
-43.40355,1000,26985.688353
249.036572,789,26986.273784
196.839432,672,26987.002443
218.548998,384,26987.296002
-47.457565,347,26987.509934
232.360334,361,26987.758088
259.731239,397,26987.958534
-63.616339,163,26988.004954
240.726656,453,26988.467399
264.001778,245,26988.562137
3.325832,232,27898.079354
99.791077,1000,27899.052922
135.005893,690,28440.612454
-178.208563,644,28440.912787
28.50323,170,28440.960389
236.393187,950,28441.901254
211.228815,411,28442.142481
118.508788,1000,28442.973101
151.569514,686,28443.79462
229.261073,366,28444.001835
263.085181,376,28444.206466
146.285376,499,28444.596088
62.703579,1000,28446.542789
-219.390938,333,28446.682455
20.870309,214,28446.738286
200.867558,660,29423.621737
-45.749104,167,29423.659605
252.154854,561,29424.074915
7.069277,444,29479.071929
-5.269643,236,29479.156791
207.191523,584,29479.786345
243.932114,344,29479.988632
252.57944,312,29480.162879
216.404979,792,29480.75018
241.001793,364,29480.98605
110.580764,1000,29482.348885
183.7716,551,29482.936689
198.382469,352,29483.176009
-19.798962,184,29483.22255
195.977764,329,29483.401165
212.188336,542,29487.67626
192.228708,494,30463.138973
220.05285,407,30463.475507
253.955173,987,30464.229732
