#{"t_start": 1697720412.5152571, "env_id": "LunarLander-v2"}
r,l,t
-115.531979,258,693.20354
-93.13823,1000,695.877186
-36.274984,1000,697.620412
-116.131823,215,697.71151
-76.895453,475,698.143309
-83.271427,130,698.173975
-73.330236,177,698.220849
-162.741302,100,703.831319
-102.29436,784,705.214632
-19.679315,141,705.257946
25.771648,252,705.377772
48.61458,158,705.424399
-105.044743,701,706.072611
-129.758259,289,706.215337
-160.221695,751,706.752187
-55.60953,525,707.437322
-107.433091,1000,709.052315
-55.940628,313,709.240963
-31.719595,186,709.302335
-70.811035,839,710.524746
80.692843,765,711.867268
-30.780956,137,711.901666
-114.839452,881,718.612487
-100.459659,484,719.091036
-128.528589,726,720.153551
-81.924085,1000,721.596122
-167.487955,146,721.632309
-24.209768,517,722.106347
-61.495481,100,722.132104
-59.140761,394,722.403701
-46.950789,243,722.533229
-135.497483,390,722.887847
4.719891,231,722.983485
-78.821081,861,724.292834
-43.814019,197,724.363919
-84.053702,288,724.496528
-36.879293,247,724.612358
-121.096962,440,731.209909
-35.259096,225,731.30188
-85.310134,374,731.59599
-52.790724,247,731.71123
-26.968977,156,731.75937
-147.504178,323,731.905721
-277.530304,101,731.924811
-104.291625,117,731.952197
-146.923904,422,732.413191
-33.288308,209,732.495531
-72.043933,297,732.65631
-236.455489,468,732.976599
-78.39386,132,733.009662
-131.759659,507,733.557549
-203.292657,77,733.571104
-110.369606,407,739.311622
-32.126321,223,739.407689
-89.185063,1000,740.889117
-213.891566,992,741.950408
-172.100538,739,743.095817
-136.419282,980,744.780547
-78.79717,140,744.814514
-93.021458,332,745.09084
-114.301618,543,745.382934
-101.19601,240,745.471645
-85.721719,225,745.563264
-55.785796,227,745.656694
-137.516181,504,746.209325
-103.38426,126,746.23721
-109.415401,356,746.476175
-116.692917,373,752.11537
-128.049335,215,752.199078
-95.044018,378,752.450114
-103.118512,235,752.54333
-88.655483,366,752.737466
-89.768783,240,752.847289
-106.993175,366,753.048217
-96.845862,251,753.171372
-183.667066,525,753.711752
-7.833719,324,753.891114
-87.971476,157,753.941499
-59.015817,360,754.204414
-103.350478,237,754.293744
-66.368792,249,754.430972
-172.985985,907,755.931435
-124.007854,1000,762.815384
-80.017555,403,763.209341
-87.607122,784,764.382993
-58.90596,674,764.972211
-137.796009,585,765.492407
-175.138575,490,766.119746
-32.817259,401,766.349557
-101.359413,213,766.43843
-171.863168,629,767.484457
-66.678504,535,768.162006
-105.946402,447,768.513102
-78.813846,321,768.770009
-156.015362,911,770.197075
-97.674357,500,770.522461
-56.760017,134,770.554025
-136.483225,603,776.864807
-192.768445,983,779.23531
-102.721853,1000,781.10279
-8.082466,314,781.28341
-187.458094,909,783.110587
-123.043425,1000,784.412359
-47.957196,315,784.596069
-33.913087,545,785.402805
-195.623863,971,787.311314
-133.215545,1000,789.580145
-19.726863,270,789.729058
-115.130303,413,790.177021
-86.741666,1000,791.612049
-86.410914,147,791.646629
-155.151844,577,792.539883
-10.544054,214,798.614609
-97.49541,1000,800.230005
-171.904868,518,800.554116
-66.648191,145,800.586276
-77.596449,333,800.813621
-172.840708,623,801.656213
-178.882557,512,802.252942
-165.802254,478,802.688507
-7.421402,280,802.884305
-85.891671,344,803.154861
20.110067,370,803.433654
-16.699608,404,803.686305
-83.88727,438,804.159484
-128.310587,628,804.850604
-39.075492,411,805.176171
-115.34118,1000,813.765832
-93.979102,173,813.811273
-159.799124,1000,815.371375
-69.623606,1000,817.714257
-96.002264,191,817.77099
-124.036763,1000,819.973541
-210.814592,282,820.15611
-74.039629,1000,823.308361
-91.088669,1000,825.260775
-242.902811,803,826.382844
-159.513556,1000,828.707812
-143.640089,1000,831.443454
-58.865588,1000,832.977152
-55.77303,1000,834.114994
-140.610341,1000,837.030554
-211.257209,762,844.651442
-104.624809,1000,846.162716
-93.915988,1000,847.880886
-67.743803,1000,849.817425
-108.140068,190,849.89187
-120.471539,1000,851.369002
-178.167858,734,852.537682
-448.305797,925,853.87947
-42.000012,1000,856.83199
-483.078424,828,858.182114
-108.936464,1000,860.798098
-259.574726,611,861.483707
-219.673192,924,862.690668
-82.222651,1000,865.003606
-117.76513,205,865.072241
-141.247854,1000,872.670328
-202.143448,264,872.777666
-132.824365,1000,875.274934
-93.519574,1000,877.187785
-39.162759,1000,878.940923
-83.010279,1000,880.30805
-254.615374,407,880.581161
-141.925265,1000,882.416149
-102.581114,183,882.471474
-213.013938,689,883.320453
-100.546179,1000,884.511612
-123.704809,1000,886.620499
-170.023316,700,887.731819
-115.424013,1000,889.629941
-83.414715,1000,891.470582
-76.223005,1000,899.234456
-60.638635,1000,900.503928
-244.990277,838,902.227921
-273.487814,624,902.866046
-103.791125,756,904.255261
-273.047648,762,904.986404
-71.911799,1000,907.095914
-147.201086,295,907.254435
